ErbB_signaling_pathway	3	214	0.014018691588785
One_carbon_pool_by_folate	1	149	0.00671140939597315
Pantothenate_and_CoA_biosynthesis	1	147	0.00680272108843537
Estrogen_signaling_pathway	2	228	0.0087719298245614
Glycosaminoglycan_biosynthesis_-_keratan_sulfate	1	144	0.00694444444444444
Fructose_and_mannose_metabolism	1	162	0.00617283950617284
B_cell_receptor_signaling_pathway	1	201	0.00497512437810945
Tuberculosis	2	307	0.00651465798045603
Peroxisome	1	211	0.004739336492891
Asthma	1	161	0.0062111801242236
Oxidative_phosphorylation	2	261	0.00766283524904215
cGMP_-_PKG_signaling_pathway	3	294	0.0102040816326531
Alcoholism	2	308	0.00649350649350649
Autoimmune_thyroid_disease	1	183	0.00546448087431694
Thyroid_hormone_signaling_pathway	2	247	0.00809716599190283
Taste_transduction	1	182	0.00549450549450549
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)	2	202	0.0099009900990099
Pancreatic_secretion	1	227	0.00440528634361234
Non-alcoholic_fatty_liver_disease_(NAFLD)	3	278	0.0107913669064748
Herpes_simplex_infection	1	315	0.00317460317460317
Chronic_myeloid_leukemia	1	202	0.00495049504950495
Wnt_signaling_pathway	2	268	0.00746268656716418
Epithelial_cell_signaling_in_Helicobacter_pylori_infection	1	197	0.0050761421319797
Pyruvate_metabolism	1	170	0.00588235294117647
Salivary_secretion	1	219	0.0045662100456621
Signaling_pathways_regulating_pluripotency_of_stem_cells	3	269	0.0111524163568773
African_trypanosomiasis	1	163	0.00613496932515337
PPAR_signaling_pathway	1	198	0.00505050505050505
Choline_metabolism_in_cancer	1	229	0.00436681222707424
Long-term_depression	3	187	0.0160427807486631
Prostate_cancer	2	217	0.00921658986175115
Mucin_type_O-glycan_biosynthesis	1	160	0.00625
Cell_adhesion_molecules_(CAMs)	2	273	0.00732600732600733
Primary_bile_acid_biosynthesis	1	146	0.00684931506849315
Dopaminergic_synapse	2	259	0.00772200772200772
Cocaine_addiction	1	179	0.00558659217877095
Parkinson's_disease	3	270	0.0111111111111111
